id,conf,year,times,x,y,
941,InfoVis,2007,29,-14.343334,-44.311287,
2507,SciVis,1991,15,-12.988169,-42.798164,
21,VAST,2014,0,-10.43942,-38.96503,
405,InfoVis,2011,6,-9.095987,-38.14081,
7,VAST,2014,0,-16.579338,-39.27243,
1264,SciVis,2005,14,-58.924564,-29.489664,
877,VAST,2008,8,-4.048106,-74.97763,
187,VAST,2013,1,-4.9871893,-75.31132,
1890,SciVis,1999,12,18.541975,47.240993,
947,InfoVis,2007,8,12.58994,-22.284702,
125,SciVis,2014,0,12.753625,-72.0647,
881,VAST,2008,2,12.065205,-73.27286,
42,VAST,2014,0,4.236316,-63.71902,
201,VAST,2013,2,-13.595996,-57.830368,
1341,InfoVis,2004,21,-15.063644,-58.548183,
1500,InfoVis,2003,8,-20.220598,-54.352463,
841,SciVis,2008,7,-17.114199,-40.67029,
437,SciVis,2011,1,17.05056,-23.218674,
1558,SciVis,2003,12,17.495466,-21.497517,
822,InfoVis,2008,9,-0.8601165,-52.842636,
8,VAST,2014,0,-29.88415,-13.169178,
1197,InfoVis,2005,21,-36.47832,-51.046127,
365,VAST,2012,1,-30.561577,-14.111241,
1306,InfoVis,2004,28,-31.055626,-14.82869,
935,InfoVis,2007,26,-33.787994,-71.99908,
387,InfoVis,2011,4,-20.98145,-69.25114,
810,InfoVis,2008,5,-34.328445,-71.30874,
388,InfoVis,2011,2,-27.96335,-10.663379,
527,InfoVis,2010,1,-28.857294,-11.725046,
244,InfoVis,2012,5,-29.5337,-11.47478,
665,InfoVis,2009,4,-2.978043,-67.11421,
44,VAST,2014,0,-2.11864,-67.72051,
65,InfoVis,2014,0,-1.7313111,-65.90085,
1873,InfoVis,1999,19,-15.8750725,-48.624905,
611,VAST,2010,2,-14.724155,-49.75584,
392,InfoVis,2011,3,-14.581307,-50.138767,
369,VAST,2012,0,10.989136,-55.83034,
1028,VAST,2007,9,-47.37923,-14.832062,
817,InfoVis,2008,25,-50.486427,-14.002096,
9,VAST,2014,0,8.593509,-77.72716,
654,InfoVis,2009,23,-38.314987,-61.713882,
2423,SciVis,1992,10,33.973583,-13.175504,
1061,InfoVis,2006,13,-35.211132,-70.91092,
1024,VAST,2007,8,-38.47787,-68.03488,
1194,InfoVis,2005,7,-17.331127,-54.762684,
367,VAST,2012,3,13.518033,-18.705896,
2293,InfoVis,1995,13,-19.92542,-56.986057,
673,InfoVis,2009,13,-42.68925,-2.8542752,
2489,SciVis,1991,6,9.588787,-77.010956,
2084,SciVis,1997,3,10.400794,-76.38593,
1153,VAST,2006,5,7.4121494,-78.08223,
2228,InfoVis,1996,8,7.0003104,-77.22149,
624,VAST,2010,2,6.250164,-78.96374,
467,VAST,2011,1,-38.898937,-65.367,
663,InfoVis,2009,4,-38.85324,-64.199554,
264,InfoVis,2012,1,-38.915874,-63.050392,
320,VAST,2012,0,-20.756208,-57.059288,
1058,InfoVis,2006,5,-21.934263,-57.25063,
10,VAST,2014,0,-40.252743,-17.525427,
942,InfoVis,2007,15,-12.819541,-58.905403,
2566,SciVis,1990,66,-4.221613,-34.386032,
224,InfoVis,2013,1,-39.3429,-16.332079,
978,SciVis,2007,9,-40.18457,-14.513639,
1291,InfoVis,2004,9,-39.8993,-11.50122,
270,InfoVis,2012,1,-38.048504,-16.020348,
230,InfoVis,2013,1,-45.035957,-49.35663,
761,VAST,2009,2,-4.8469005,-65.51727,
1072,InfoVis,2006,8,-5.552423,-67.32857,
412,InfoVis,2011,3,-42.118584,-3.9532256,
442,SciVis,2011,1,-43.139755,-1.4954363,
168,InfoVis,2013,0,-42.136677,-5.1806645,
411,InfoVis,2011,3,-9.499245,-76.02911,
1555,SciVis,2003,14,-6.856786,3.2446554,
657,InfoVis,2009,18,-10.177149,-62.966934,
29,VAST,2014,0,-6.7066264,-53.39756,
835,SciVis,2008,2,9.863943,-11.638394,
251,InfoVis,2012,1,-8.7703085,-63.96752,
946,InfoVis,2007,10,-40.044674,-17.053148,
2525,SciVis,1991,60,-43.210953,-43.477726,
522,InfoVis,2010,10,-25.891468,-75.06498,
1554,InfoVis,2003,3,-14.129245,-79.736115,
1425,InfoVis,2004,19,-5.420312,-69.75639,
274,InfoVis,2012,1,-27.05493,-27.638885,
2379,SciVis,1993,8,-27.521563,-26.903452,
1671,InfoVis,2002,7,-29.705175,-28.10015,
1803,SciVis,2000,7,-34.12832,28.278088,
38,VAST,2014,0,-9.068312,-65.02738,
263,InfoVis,2012,5,-18.01625,-72.61777,
616,VAST,2010,10,-17.750875,-78.59755,
273,InfoVis,2012,2,-21.757774,-43.158176,
690,SciVis,2009,7,-28.009323,-29.910217,
75,InfoVis,2014,0,-22.756296,-43.191055,
394,InfoVis,2011,3,-20.85702,-43.995945,
541,InfoVis,2010,6,-24.829077,-27.964125,
89,InfoVis,2014,2,-20.840899,-75.396645,
891,VAST,2008,4,-24.47064,-67.38426,
37,VAST,2014,2,-20.632006,-75.136024,
232,InfoVis,2013,1,-27.486986,-72.371124,
620,VAST,2010,4,-27.632034,-70.981926,
1054,InfoVis,2006,13,-28.612507,-71.92357,
809,InfoVis,2008,5,-1.9066893,-25.590347,
607,VAST,2010,8,-29.627344,-70.00013,
750,VAST,2009,6,-0.8212343,-31.559124,
231,InfoVis,2013,1,-41.66984,13.361903,
754,VAST,2009,5,-21.99981,-75.61645,
1192,InfoVis,2005,6,14.614929,-60.27909,
12,VAST,2014,0,-18.108467,-63.113823,
1000,SciVis,2007,5,41.26911,-11.504016,
1528,InfoVis,2003,17,-16.014074,-24.890423,
337,VAST,2012,2,-17.506563,-60.855034,
1180,InfoVis,2005,4,-17.938309,-61.26435,
47,VAST,2014,0,-18.00887,-61.639996,
547,InfoVis,2010,6,-18.652117,-65.585236,
379,InfoVis,2011,0,27.297352,-24.885006,
744,VAST,2009,4,-6.039316,-12.662748,
2264,SciVis,1995,30,3.6608236,-21.918396,
727,SciVis,2009,5,57.844902,28.819326,
364,VAST,2012,2,-19.436907,-48.462894,
1181,InfoVis,2005,6,-17.912748,-49.02047,
540,InfoVis,2010,3,9.741523,-63.533016,
736,SciVis,2009,4,-17.94752,-64.649345,
832,SciVis,2008,10,-17.699076,-64.931274,
13,VAST,2014,0,-13.038827,-29.331121,
1303,InfoVis,2004,12,-14.887646,-29.385626,
2542,SciVis,1990,21,-12.9422655,-32.077847,
368,VAST,2012,6,-1.6715485,-53.68047,
45,VAST,2014,0,-2.3792222,-54.54789,
509,VAST,2011,6,-16.447487,-54.731853,
277,InfoVis,2012,8,-20.597252,-69.93301,
819,InfoVis,2008,16,-45.50302,-23.827118,
241,InfoVis,2012,2,-19.8125,-21.495047,
404,InfoVis,2011,1,-20.346724,-21.296188,
486,VAST,2011,6,-50.11218,-14.696938,
31,VAST,2014,0,-9.272833,-48.178318,
968,SciVis,2007,6,-43.22965,-0.62934756,
14,VAST,2014,0,-44.205666,0.9175325,
189,SciVis,2013,2,-44.043503,0.647868,
948,InfoVis,2007,10,-43.980957,4.132021,
1495,SciVis,2003,10,-46.51327,4.8961544,
536,InfoVis,2010,4,-24.312963,-16.646872,
15,VAST,2014,0,-7.2004166,-44.871243,
1607,SciVis,2002,3,-39.999638,40.048573,
1983,SciVis,1998,4,14.789632,16.072027,
1586,InfoVis,2002,20,-8.019041,-50.636623,
699,SciVis,2009,7,-21.645845,-16.229944,
677,InfoVis,2009,9,10.341153,-27.991415,
579,SciVis,2010,5,-11.852251,-17.55858,
403,InfoVis,2011,5,-6.415558,-46.176918,
247,InfoVis,2012,0,-4.717424,-46.905903,
1534,InfoVis,2003,5,-8.2192955,-47.135517,
215,VAST,2013,3,-15.776538,-8.571253,
30,VAST,2014,0,-7.3098145,-43.09165,
16,VAST,2014,0,2.6825044,-64.248344,
188,InfoVis,2013,3,13.078901,-68.85689,
2556,SciVis,1990,27,0.006612776,-22.810196,
507,VAST,2011,2,1.747069,-63.834816,
225,VAST,2013,6,0.22154504,-78.639496,
1177,InfoVis,2005,15,-2.1588895,-79.721855,
884,VAST,2008,3,13.236458,-69.5173,
513,VAST,2011,6,8.0514555,-64.200836,
269,InfoVis,2012,5,6.1121325,-63.021523,
483,VAST,2011,6,5.907608,-63.874825,
147,SciVis,2013,2,16.869003,8.530921,
395,InfoVis,2011,6,-49.30978,-9.697652,
116,SciVis,2014,0,-7.920129,-55.438885,
2122,SciVis,1997,30,18.760664,6.538158,
17,VAST,2014,0,-38.253105,-58.98863,
1781,InfoVis,2000,22,-12.184028,-76.536064,
1537,InfoVis,2003,5,5.7976,-59.75682,
471,VAST,2011,1,9.616008,-52.95742,
656,InfoVis,2009,7,3.4209378,-79.83546,
39,VAST,2014,0,0.96760786,-80.3432,
2091,InfoVis,1997,23,-30.910994,7.675987,
1227,SciVis,2005,2,-30.88955,8.357306,
1023,VAST,2007,6,-39.01872,-58.05346,
245,InfoVis,2012,19,-35.160534,-56.057556,
1409,InfoVis,2004,13,-37.275055,-60.57247,
340,VAST,2012,3,-42.898754,-48.210205,
1140,VAST,2006,4,-47.82726,-50.16046,
525,InfoVis,2010,6,-45.49594,-55.7524,
1422,InfoVis,2004,24,-36.64573,-71.234665,
498,VAST,2011,1,5.027156,-70.210846,
71,InfoVis,2014,1,19.412432,-63.076057,
1881,InfoVis,1999,7,-44.112663,-46.517883,
2227,InfoVis,1996,2,-43.988644,-48.000748,
1161,VAST,2006,11,4.7508106,-79.387505,
803,InfoVis,2008,18,3.5078158,-71.55034,
924,InfoVis,2007,26,-10.32874,-72.04507,
229,InfoVis,2013,1,-18.760485,-2.6819127,
715,SciVis,2009,2,-19.670238,-1.6456189,
844,SciVis,2008,3,-19.608925,-2.4779372,
882,VAST,2008,0,-12.43548,-57.295414,
433,SciVis,2011,4,-31.967651,-31.837105,
1022,VAST,2007,1,20.820873,-31.123835,
1173,InfoVis,2005,18,-29.201931,-60.500362,
1189,InfoVis,2005,3,12.325361,-58.28597,
2237,SciVis,1995,14,5.4811788,-2.3574374,
922,InfoVis,2007,20,-2.6252592,-60.245865,
807,InfoVis,2008,15,-3.8101037,-63.418377,
378,InfoVis,2011,7,-24.455141,-42.75196,
363,VAST,2012,2,-25.287006,-41.65056,
929,InfoVis,2007,3,4.360383,-48.524845,
19,VAST,2014,0,0.6400002,-71.73876,
1164,VAST,2006,4,11.424448,-62.583366,
888,VAST,2008,6,9.683847,-62.318398,
1433,InfoVis,2004,11,-15.258667,-25.762575,
879,VAST,2008,5,-4.103486,-41.712894,
573,SciVis,2010,2,-53.179714,-18.885822,
605,VAST,2010,7,-12.10524,-45.208412,
802,InfoVis,2008,13,-29.438293,-41.107098,
537,InfoVis,2010,10,-34.001842,-44.18643,
926,InfoVis,2007,19,-59.20254,-40.06983,
510,VAST,2011,3,-54.70542,-35.111797,
180,VAST,2013,1,1.3729169,-71.700836,
749,VAST,2009,13,0.19268972,-13.180644,
148,InfoVis,2013,3,-51.856953,-30.058504,
889,VAST,2008,8,-24.950315,-64.21078,
799,InfoVis,2008,11,0.36767796,-38.924297,
2348,SciVis,1994,43,-2.1966832,-15.221105,
216,InfoVis,2013,0,-35.79942,-58.507973,
801,InfoVis,2008,4,-39.61115,-61.029457,
932,InfoVis,2007,6,9.647867,-65.011986,
623,VAST,2010,3,-53.53418,-35.89594,
262,InfoVis,2012,5,-31.39871,-51.41943,
625,VAST,2010,2,-56.515656,-34.45518,
930,InfoVis,2007,9,-53.350403,-28.310081,
758,VAST,2009,7,-56.53995,-34.473534,
327,VAST,2012,2,-37.33744,-44.34124,
885,VAST,2008,12,-41.167088,-32.264233,
683,InfoVis,2009,0,-41.11498,-31.174042,
678,InfoVis,2009,3,-40.547623,-67.885956,
514,VAST,2011,2,-56.35837,-46.47872,
937,InfoVis,2007,12,-55.92438,-40.46437,
322,VAST,2012,3,-56.72828,-19.612974,
22,VAST,2014,0,-18.432646,-21.632406,
670,InfoVis,2009,15,-17.55901,-21.39574,
895,VAST,2008,5,-13.9410305,-26.539398,
604,VAST,2010,7,-13.452608,-23.786722,
313,SciVis,2012,1,-14.023134,-22.391195,
380,InfoVis,2011,6,-17.413927,-31.614723,
136,InfoVis,2013,1,-17.622616,-29.701483,
475,VAST,2011,6,-59.817093,-26.28613,
25,VAST,2014,0,-29.249817,-25.961811,
333,VAST,2012,1,-52.791252,-35.557114,
23,VAST,2014,0,-35.19628,-5.3693705,
1057,InfoVis,2006,11,-47.759285,-7.6152096,
1063,InfoVis,2006,10,-33.22771,-2.0813348,
195,InfoVis,2013,5,-33.268566,-3.7405317,
54,InfoVis,2014,0,-34.24281,-4.0018263,
55,InfoVis,2014,0,-33.34158,-4.2078843,
375,InfoVis,2011,4,-33.684143,-5.6285195,
237,InfoVis,2012,3,-33.87806,-6.516033,
1165,VAST,2006,7,0.95157677,-11.723934,
1239,SciVis,2005,5,0.89098036,-10.661213,
501,VAST,2011,2,0.8748445,-12.681091,
606,VAST,2010,4,0.96004933,-14.576593,
24,VAST,2014,0,-48.98705,-37.872784,
1146,VAST,2006,5,-49.212074,-38.775566,
204,VAST,2013,1,-54.030357,-32.857437,
756,VAST,2009,2,-25.28925,-61.736546,
617,VAST,2010,1,-25.062222,-62.125225,
933,InfoVis,2007,45,-26.872578,-59.057995,
1156,VAST,2006,5,-53.561775,-25.967089,
671,InfoVis,2009,3,-52.82379,-25.991955,
1157,VAST,2006,3,-53.67753,-25.522982,
759,VAST,2009,9,-27.337315,-68.18745,
207,VAST,2013,0,-27.811369,-67.207794,
1172,InfoVis,2005,1,-47.763176,-38.061474,
1026,VAST,2007,9,-38.73005,-34.624264,
1066,InfoVis,2006,16,-42.624958,-27.021317,
653,InfoVis,2009,4,-31.06972,-23.659472,
1122,SciVis,2006,5,-12.3343525,39.2174,
599,SciVis,2010,4,-20.23736,30.334148,
1014,VAST,2007,10,-3.7737882,-40.307285,
751,VAST,2009,4,-4.8638062,-40.738205,
1182,InfoVis,2005,5,-54.998947,-52.339985,
516,VAST,2011,4,-13.076933,-15.528804,
1632,InfoVis,2002,19,-29.566738,-1.1957692,
2004,SciVis,1998,20,8.439784,68.404655,
2041,SciVis,1998,15,38.003914,23.026712,
1414,InfoVis,2004,10,23.618052,-44.468258,
659,InfoVis,2009,2,-20.063164,-79.65753,
321,VAST,2012,1,-5.343021,9.261777,
443,SciVis,2011,3,-14.500163,25.63518,
860,SciVis,2008,12,-20.050726,23.425074,
1493,InfoVis,2003,5,13.367146,-61.87515,
2108,SciVis,1997,6,14.177005,-37.147835,
1148,VAST,2006,3,17.87096,-41.777138,
1687,InfoVis,2001,6,13.08264,-57.73996,
226,InfoVis,2013,3,17.93023,-63.481495,
381,InfoVis,2011,7,15.867961,-63.656254,
682,InfoVis,2009,4,-14.291352,-16.049828,
893,VAST,2008,3,-24.352055,-58.326263,
27,VAST,2014,0,-27.28111,-50.096462,
240,InfoVis,2012,7,-27.638992,-48.99153,
178,InfoVis,2013,0,-28.275763,-50.31388,
550,InfoVis,2010,3,-28.176605,-49.467014,
629,VAST,2010,2,-4.3830395,-42.511913,
808,InfoVis,2008,17,-58.536762,-34.688274,
213,VAST,2013,0,-57.121475,-35.032307,
1272,SciVis,2005,15,-40.62277,-10.947634,
737,SciVis,2009,1,-41.566105,-7.084596,
328,VAST,2012,2,17.60685,-28.092743,
391,InfoVis,2011,5,18.218424,-27.109394,
202,VAST,2013,0,18.499651,-27.695,
977,SciVis,2007,5,-6.08223,-41.15026,
612,VAST,2010,1,-4.755218,-38.92547,
1862,SciVis,2000,9,-41.64983,-23.030857,
174,SciVis,2013,0,-43.01119,-24.566355,
464,SciVis,2011,2,-24.361458,-15.183526,
163,InfoVis,2013,2,-8.109384,-52.68269,
1162,VAST,2006,2,-8.086887,-52.743645,
688,SciVis,2009,4,-7.9735084,-53.91419,
834,SciVis,2008,12,-20.410034,-26.019089,
456,SciVis,2011,2,3.869289,37.381264,
432,SciVis,2011,0,6.676574,35.641964,
2035,SciVis,1998,6,-40.496185,-38.0832,
2274,InfoVis,1995,17,15.025404,-48.16864,
1089,SciVis,2006,9,1.8038781,23.86323,
548,InfoVis,2010,2,-27.934614,-35.607845,
1070,InfoVis,2006,5,-10.844754,-51.108295,
