id,conf,year,times,x,y,
363,VAST,2012,2,-1.443252,54.40489,
1260,SciVis,2005,7,-52.45566,-33.921997,
1813,SciVis,2000,8,-52.470814,-33.951317,
210,SciVis,2013,0,-52.46506,-33.920002,
1198,InfoVis,2005,6,12.780249,-21.180313,
1310,SciVis,2004,1,3.2033634,8.48889,
964,SciVis,2007,3,9.478271,58.693752,
1996,SciVis,1998,13,9.817366,59.426975,
890,VAST,2008,5,-22.891064,-24.237885,
247,InfoVis,2012,0,-23.143747,-25.012224,
308,SciVis,2012,1,-30.890844,-2.5650868,
284,SciVis,2012,1,5.893621,-4.246213,
810,InfoVis,2008,5,45.81796,-16.687017,
164,InfoVis,2013,0,6.1917686,-11.472348,
257,InfoVis,2012,1,10.0453005,-38.83612,
165,SciVis,2013,0,32.499752,0.653636,
1255,SciVis,2005,6,32.65051,0.88593584,
1933,SciVis,1999,12,12.902871,55.36935,
1210,SciVis,2005,5,13.798304,55.948303,
2180,SciVis,1996,18,-0.37259626,30.90695,
336,VAST,2012,2,35.819195,-36.78947,
1784,InfoVis,2000,3,-3.5009844,4.761554,
167,InfoVis,2013,1,-3.5190673,4.7237325,
236,InfoVis,2012,0,-3.4846163,4.748541,
168,InfoVis,2013,0,-4.0844245,-35.35996,
411,InfoVis,2011,3,-3.1917844,-31.513372,
1536,SciVis,2003,5,-13.621915,-1.44057,
2065,SciVis,1997,2,-13.983432,-1.0834541,
2196,SciVis,1996,11,-19.70546,5.44669,
2026,InfoVis,1998,26,32.088135,-35.987247,
1500,InfoVis,2003,8,31.54046,-36.41655,
1458,SciVis,2004,0,3.097184,37.972794,
286,SciVis,2012,0,3.0074105,36.91098,
172,SciVis,2013,0,-20.347715,38.466896,
1077,SciVis,2006,4,-20.891676,37.924534,
287,SciVis,2012,0,-19.990055,39.329178,
1175,InfoVis,2005,5,40.77246,0.18217492,
1148,VAST,2006,3,40.908264,0.59985626,
268,InfoVis,2012,1,40.839573,0.36128908,
1750,SciVis,2001,7,-21.547523,-16.775051,
722,SciVis,2009,4,-22.173353,-16.334797,
958,SciVis,2007,4,-39.717167,-44.077282,
1804,SciVis,2000,10,-40.41246,-45.49739,
186,SciVis,2013,0,-26.110115,1.8733484,
1890,SciVis,1999,12,24.450077,-17.385494,
1645,InfoVis,2002,7,-44.71388,-7.4771714,
1490,InfoVis,2003,2,-43.78868,-8.603227,
1632,InfoVis,2002,19,-2.6581385,-23.911404,
588,SciVis,2010,1,-16.69298,-11.645129,
1495,SciVis,2003,10,2.7557673,51.081997,
2195,SciVis,1996,11,6.713774,50.398304,
190,VAST,2013,0,23.239763,12.303674,
1129,SciVis,2006,3,24.884626,12.697626,
1241,SciVis,2005,1,23.660255,11.7042675,
414,InfoVis,2011,3,-5.925354,-35.532814,
